id,name,brand,price,rating,dpi,hand_orientation,model,scrape_datetime
189,roccat_kone_aimo_remastered_pc_gaming_mouse_optical_rgb_backlit_lighting_23_programmable_keys_onboard_memory_palm_grip_owl_eye_sensor_ergonomic_led_illumination_16_000_dpi_black,,183.14,,,,ROC-11-820-BK,2024-09-15 17:39:07
190,mad_catz_b_a_t_6_performance_ambidextrous_wired_gaming_mouse,,170.26,,,,WWE0397,2024-09-15 17:39:07
191,lenovo_pen_tip_kit_4xh0r14769,,46.58,,,,4XH0R14769,2024-09-15 17:39:07
192,the_authentic_r_a_t_8_fully_adjustable_wired_gaming_mouse_16000_dpi_optical_sensor_11_programmable_buttons_and_rgb_lighting_black,,213.19,,,,EAHHH02697,2024-09-15 17:39:07
193,hyperx_pulsefire_haste_2_wireless_gaming_mouse_ultra_lightweight_61g_100_hour_battery_life_dual_wireless_connectivity_precision_sensor_black,,292.82,,,,6N0B0AA..,2024-09-15 17:39:07
194,roccat_kone_aimo_roc_11_815_bk_black_tilt_wheel_usb_2_0_wired_optical_gaming_mouse,,167.40,,,,ROC-11-815-BK,2024-09-15 17:39:07
195,roccat_kone_xp_pc_gaming_mouse_with_3d_aimo_rgb_lighting_19k_dpi_optical_sensor_4d_krystal_scroll_wheel_multi_button_design_wired_computer_mouse_black_roc_11_420_01_,,125.91,,,,39969967079521,2024-09-15 17:39:07
196,hp_635_multi_device_mouse_wireless_bluetooth_for_elite_mobile_thin_client_mt645_g7_fortis_11_g9_zbook_firefly,,162.83,,,,1D0K2AA#AC3,2024-09-15 17:39:07
197,r_go_break_large_vertical_usb_wired_mouse_right_hand_black,,181.04,,,,RGOBRHEML,2024-09-15 17:39:07
198,roccat_kone_xp_pc_gaming_mouse_with_3d_aimo_rgb_lighting_19k_dpi_optical_sensor_4d_krystal_scroll_wheel_multi_button_design_wired_computer_mouse_black_roc_11_420_01_,,135.92,,,,41802720575664,2024-09-15 17:39:07
199,roccat_kone_pure_optical_7_buttons_1_x_wheel_usb_wired_5000_dpi_core_performance_gaming_mouse_phantom_white,,204.61,,,,Optical-White,2024-09-15 17:39:07
200,roccat_leadr_wireless_multi_button_rgb_gaming_mouse,,426.39,,,,ROC-11-852,2024-09-15 17:39:07
201,mad_catz_r_a_t_pro_x3_gaming_mouse_usb_black_16000dpi_10_buttons_mr05dcinbl001_0,,449.29,,,,B07JVLWCSB,2024-09-15 17:39:07
202,endgame_gear_xm2we_wireless_mouse_black_egg_xm2we_blk,,241.80,,,,EGG-XM2WE-BLK,2024-09-15 17:39:07
203,roccat_kone_xp_air_wireless_optical_gaming_mouse_black_roc_11_442_01,,279.01,,,,ROC-11-442-01,2024-09-15 17:39:07
204,endgame_gear_op1we_wireless_gaming_mouse_lightweight_58_5g_swappable_kailh_go_main_button_switches_pixart_paw3370_optical_sensor_19k_dpi_1khz_polling_rate_black,,284.73,,,,EGG-OP1WE-BLK,2024-09-15 17:39:07
